College,Gender,Race,Year,demographics tooltip,Number of students
Architecture,Female,Hispanic,2013,59 (0.1%) students,59
Architecture,Female,"Black or African American, two or more excluding Hispanic",2013,5 (0.0%) students,5
Architecture,Female,"Black or African American, only",2013,13 (0.0%) students,13
Architecture,Female,"Asian, only",2013,31 (0.1%) students,31
Architecture,Female,"White, only",2012,233 (0.4%) students,233
Architecture,Female,Unknown or Blank,2012,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2012,12 (0.0%) students,12
Architecture,Female,Non-resident Alien,2012,41 (0.1%) students,41
Architecture,Female,Hispanic,2012,51 (0.1%) students,51
Architecture,Female,"Black or African American, two or more excluding Hispanic",2012,5 (0.0%) students,5
Architecture,Female,"Black or African American, only",2012,13 (0.0%) students,13
Architecture,Female,"Asian, only",2012,36 (0.1%) students,36
Architecture,Female,"White, only",2011,261 (0.5%) students,261
Architecture,Female,Unknown or Blank,2011,7 (0.0%) students,7
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2011,6 (0.0%) students,6
Architecture,Female,Non-resident Alien,2011,49 (0.1%) students,49
Architecture,Female,Hispanic,2011,43 (0.1%) students,43
Architecture,Female,"Black or African American, two or more excluding Hispanic",2011,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2011,15 (0.0%) students,15
Architecture,Female,"Asian, only",2011,38 (0.1%) students,38
Architecture,Female,"White, only",2010,250 (0.5%) students,250
Architecture,Female,Unknown or Blank,2010,8 (0.0%) students,8
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2010,No students match your selections or these data are privacy suppressed.,
Architecture,Female,Non-resident Alien,2010,38 (0.1%) students,38
Architecture,Female,Hispanic,2010,36 (0.1%) students,36
Architecture,Female,"Black or African American, two or more excluding Hispanic",2010,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2010,14 (0.0%) students,14
Architecture,Female,"Asian, only",2010,39 (0.1%) students,39
Architecture,Female,"White, only",2009,244 (0.5%) students,244
Architecture,Female,Unknown or Blank,2009,6 (0.0%) students,6
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Architecture,Female,Non-resident Alien,2009,27 (0.1%) students,27
Architecture,Female,Hispanic,2009,32 (0.1%) students,32
Architecture,Female,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2009,12 (0.0%) students,12
Architecture,Female,"Asian, only",2009,36 (0.1%) students,36
Architecture,Female,"White, only",2008,243 (0.5%) students,243
Architecture,Female,Unknown or Blank,2008,6 (0.0%) students,6
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Architecture,Female,Non-resident Alien,2008,33 (0.1%) students,33
Architecture,Female,Hispanic,2008,25 (0.1%) students,25
Architecture,Female,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2008,11 (0.0%) students,11
Architecture,Female,"Asian, only",2008,33 (0.1%) students,33
Architecture,Male,"White, only",2018,135 (0.3%) students,135
Architecture,Male,Unknown or Blank,2018,7 (0.0%) students,7
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2018,9 (0.0%) students,9
Architecture,Male,Non-resident Alien,2018,32 (0.1%) students,32
Architecture,Male,Hispanic,2018,63 (0.1%) students,63
Architecture,Male,"Black or African American, only",2018,12 (0.0%) students,12
Architecture,Male,"Asian, only",2018,18 (0.0%) students,18
Architecture,Male,"White, only",2017,133 (0.3%) students,133
Architecture,Male,Unknown or Blank,2017,5 (0.0%) students,5
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2017,11 (0.0%) students,11
Architecture,Male,Non-resident Alien,2017,41 (0.1%) students,41
Architecture,Male,Hispanic,2017,56 (0.1%) students,56
Architecture,Male,"Black or African American, only",2017,13 (0.0%) students,13
Architecture,Male,"Asian, only",2017,18 (0.0%) students,18
Architecture,Male,"White, only",2016,134 (0.3%) students,134
Architecture,Male,Unknown or Blank,2016,7 (0.0%) students,7
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2016,8 (0.0%) students,8
Architecture,Male,Non-resident Alien,2016,33 (0.1%) students,33
Architecture,Male,Hispanic,2016,55 (0.1%) students,55
Architecture,Male,"Black or African American, only",2016,13 (0.0%) students,13
Architecture,Male,"Asian, only",2016,17 (0.0%) students,17
Architecture,Male,"White, only",2015,124 (0.2%) students,124
Architecture,Male,Unknown or Blank,2015,6 (0.0%) students,6
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2015,No students match your selections or these data are privacy suppressed.,
Architecture,Male,Non-resident Alien,2015,33 (0.1%) students,33
Architecture,Male,Hispanic,2015,51 (0.1%) students,51
Architecture,Male,"Black or African American, only",2015,11 (0.0%) students,11
Architecture,Male,"Asian, only",2015,15 (0.0%) students,15
Architecture,Male,"White, only",2014,116 (0.2%) students,116
Architecture,Male,Unknown or Blank,2014,No students match your selections or these data are privacy suppressed.,
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2014,6 (0.0%) students,6
Architecture,Male,Non-resident Alien,2014,42 (0.1%) students,42
Architecture,Male,Hispanic,2014,52 (0.1%) students,52
Architecture,Male,"Black or African American, only",2014,9 (0.0%) students,9
Architecture,Male,"Asian, only",2014,14 (0.0%) students,14
Architecture,Male,"White, only",2013,133 (0.3%) students,133
Architecture,Male,Unknown or Blank,2013,5 (0.0%) students,5
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2013,5 (0.0%) students,5
Architecture,Male,Non-resident Alien,2013,47 (0.1%) students,47
Architecture,Male,Hispanic,2013,56 (0.1%) students,56
Architecture,Male,"Black or African American, only",2013,9 (0.0%) students,9
Architecture,Male,"Asian, only",2013,7 (0.0%) students,7
Architecture,Male,"White, only",2012,176 (0.3%) students,176
Architecture,Male,Unknown or Blank,2012,No students match your selections or these data are privacy suppressed.,
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2012,5 (0.0%) students,5
Architecture,Male,Non-resident Alien,2012,42 (0.1%) students,42
Architecture,Male,Hispanic,2012,51 (0.1%) students,51
Architecture,Male,"Black or African American, only",2012,10 (0.0%) students,10
Architecture,Male,"Asian, only",2012,8 (0.0%) students,8
Architecture,Male,"White, only",2011,213 (0.4%) students,213
Architecture,Male,Unknown or Blank,2011,5 (0.0%) students,5
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2011,No students match your selections or these data are privacy suppressed.,
Architecture,Male,Non-resident Alien,2011,36 (0.1%) students,36
Architecture,Male,Hispanic,2011,45 (0.1%) students,45
Architecture,Male,"Black or African American, only",2011,7 (0.0%) students,7
Architecture,Male,"Asian, only",2011,13 (0.0%) students,13
Architecture,Male,"White, only",2010,216 (0.4%) students,216
Architecture,Male,Unknown or Blank,2010,6 (0.0%) students,6
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2010,No students match your selections or these data are privacy suppressed.,
Architecture,Male,Non-resident Alien,2010,26 (0.1%) students,26
Architecture,Male,Hispanic,2010,42 (0.1%) students,42
Architecture,Male,"Black or African American, only",2010,9 (0.0%) students,9
Architecture,Male,"Asian, only",2010,15 (0.0%) students,15
Architecture,Male,"White, only",2009,234 (0.5%) students,234
Architecture,Male,Unknown or Blank,2009,11 (0.0%) students,11
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Architecture,Male,Non-resident Alien,2009,35 (0.1%) students,35
Architecture,Male,Hispanic,2009,41 (0.1%) students,41
Architecture,Male,"Black or African American, only",2009,9 (0.0%) students,9
Architecture,Male,"Asian, only",2009,17 (0.0%) students,17
Architecture,Male,"White, only",2008,221 (0.4%) students,221
Architecture,Male,Unknown or Blank,2008,10 (0.0%) students,10
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Architecture,Male,Non-resident Alien,2008,37 (0.1%) students,37
Architecture,Male,Hispanic,2008,38 (0.1%) students,38
Architecture,Male,"Black or African American, only",2008,No students match your selections or these data are privacy suppressed.,
Architecture,Male,"Asian, only",2008,18 (0.0%) students,18
Business Administration,Female,"White, only",2018,948 (1.8%) students,948
Business Administration,Female,Unknown or Blank,2018,35 (0.1%) students,35
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2018,44 (0.1%) students,44
Business Administration,Female,Non-resident Alien,2018,243 (0.5%) students,243
Business Administration,Female,Hispanic,2018,426 (0.8%) students,426
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2018,8 (0.0%) students,8
Business Administration,Female,"Black or African American, only",2018,101 (0.2%) students,101
Business Administration,Female,"Asian, only",2018,742 (1.4%) students,742
Business Administration,Female,"American Indian or Alaska Native, only",2018,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"White, only",2017,1001 (1.9%) students,1001
Business Administration,Female,Unknown or Blank,2017,45 (0.1%) students,45
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2017,46 (0.1%) students,46
Business Administration,Female,Non-resident Alien,2017,254 (0.5%) students,254
Business Administration,Female,Hispanic,2017,385 (0.7%) students,385
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2017,8 (0.0%) students,8
Business Administration,Female,"Black or African American, only",2017,89 (0.2%) students,89
Business Administration,Female,"Asian, only",2017,708 (1.4%) students,708
Business Administration,Female,"American Indian or Alaska Native, only",2017,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"White, only",2016,1005 (2.0%) students,1005
Business Administration,Female,Unknown or Blank,2016,38 (0.1%) students,38
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2016,58 (0.1%) students,58
Business Administration,Female,Non-resident Alien,2016,259 (0.5%) students,259
Business Administration,Female,Hispanic,2016,371 (0.7%) students,371
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2016,5 (0.0%) students,5
Business Administration,Female,"Black or African American, only",2016,79 (0.2%) students,79
Business Administration,Female,"Asian, only",2016,696 (1.4%) students,696
Business Administration,Female,"American Indian or Alaska Native, only",2016,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"White, only",2015,1020 (2.0%) students,1020
Business Administration,Female,Unknown or Blank,2015,28 (0.1%) students,28
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2015,70 (0.1%) students,70
Business Administration,Female,Non-resident Alien,2015,258 (0.5%) students,258
Business Administration,Female,Hispanic,2015,332 (0.7%) students,332
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2015,6 (0.0%) students,6
Business Administration,Female,"Black or African American, only",2015,74 (0.1%) students,74
Business Administration,Female,"Asian, only",2015,672 (1.3%) students,672
Business Administration,Female,"American Indian or Alaska Native, only",2015,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"White, only",2014,1049 (2.1%) students,1049
Business Administration,Female,Unknown or Blank,2014,28 (0.1%) students,28
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2014,62 (0.1%) students,62
Business Administration,Female,Non-resident Alien,2014,239 (0.5%) students,239
Business Administration,Female,Hispanic,2014,318 (0.6%) students,318
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2014,10 (0.0%) students,10
Business Administration,Female,"Black or African American, only",2014,56 (0.1%) students,56
Business Administration,Female,"Asian, only",2014,619 (1.2%) students,619
Business Administration,Female,"American Indian or Alaska Native, only",2014,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"White, only",2013,1067 (2.1%) students,1067
Business Administration,Female,Unknown or Blank,2013,19 (0.0%) students,19
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2013,51 (0.1%) students,51
Business Administration,Female,Non-resident Alien,2013,225 (0.4%) students,225
Business Administration,Female,Hispanic,2013,319 (0.6%) students,319
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2013,10 (0.0%) students,10
Business Administration,Female,"Black or African American, only",2013,46 (0.1%) students,46
Business Administration,Female,"Asian, only",2013,588 (1.1%) students,588
Business Administration,Female,"American Indian or Alaska Native, only",2013,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"White, only",2012,1041 (2.0%) students,1041
Business Administration,Female,Unknown or Blank,2012,7 (0.0%) students,7
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2012,34 (0.1%) students,34
Business Administration,Female,Non-resident Alien,2012,205 (0.4%) students,205
Business Administration,Female,Hispanic,2012,312 (0.6%) students,312
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2012,9 (0.0%) students,9
Business Administration,Female,"Black or African American, only",2012,58 (0.1%) students,58
Business Administration,Female,"Asian, only",2012,576 (1.1%) students,576
Business Administration,Female,"American Indian or Alaska Native, only",2012,6 (0.0%) students,6
Business Administration,Female,"White, only",2011,1068 (2.1%) students,1068
Business Administration,Female,Unknown or Blank,2011,11 (0.0%) students,11
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2011,26 (0.1%) students,26
Business Administration,Female,Non-resident Alien,2011,211 (0.4%) students,211
Business Administration,Female,Hispanic,2011,308 (0.6%) students,308
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2011,8 (0.0%) students,8
Business Administration,Female,"Black or African American, only",2011,81 (0.2%) students,81
Business Administration,Female,"Asian, only",2011,568 (1.1%) students,568
Business Administration,Female,"American Indian or Alaska Native, only",2011,7 (0.0%) students,7
Business Administration,Female,"White, only",2010,1097 (2.1%) students,1097
Business Administration,Female,Unknown or Blank,2010,5 (0.0%) students,5
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2010,15 (0.0%) students,15
Business Administration,Female,Non-resident Alien,2010,209 (0.4%) students,209
Business Administration,Female,Hispanic,2010,316 (0.6%) students,316
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2010,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"Black or African American, only",2010,95 (0.2%) students,95
Business Administration,Female,"Asian, only",2010,582 (1.1%) students,582
Business Administration,Female,"American Indian or Alaska Native, only",2010,7 (0.0%) students,7
Business Administration,Female,"White, only",2009,1159 (2.3%) students,1159
Business Administration,Female,Unknown or Blank,2009,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,Non-resident Alien,2009,215 (0.4%) students,215
Business Administration,Female,Hispanic,2009,325 (0.6%) students,325
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"Black or African American, only",2009,97 (0.2%) students,97
Business Administration,Female,"Asian, only",2009,631 (1.2%) students,631
Business Administration,Female,"American Indian or Alaska Native, only",2009,8 (0.0%) students,8
Business Administration,Female,"White, only",2008,1183 (2.4%) students,1183
Business Administration,Female,Unknown or Blank,2008,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,Non-resident Alien,2008,220 (0.4%) students,220
Business Administration,Female,Hispanic,2008,324 (0.6%) students,324
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Business Administration,Female,"Black or African American, only",2008,97 (0.2%) students,97
Business Administration,Female,"Asian, only",2008,646 (1.3%) students,646
Business Administration,Female,"American Indian or Alaska Native, only",2008,7 (0.0%) students,7
Business Administration,Male,"White, only",2018,1363 (2.6%) students,1363
Business Administration,Male,Unknown or Blank,2018,49 (0.1%) students,49
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2018,62 (0.1%) students,62
Business Administration,Male,Non-resident Alien,2018,331 (0.6%) students,331
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2018,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Hispanic,2018,477 (0.9%) students,477
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2018,13 (0.0%) students,13
Business Administration,Male,"Black or African American, only",2018,82 (0.2%) students,82
Business Administration,Male,"Asian, only",2018,774 (1.5%) students,774
Business Administration,Male,"American Indian or Alaska Native, only",2018,6 (0.0%) students,6
Business Administration,Male,"White, only",2017,1415 (2.8%) students,1415
Business Administration,Male,Unknown or Blank,2017,42 (0.1%) students,42
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2017,62 (0.1%) students,62
Business Administration,Male,Non-resident Alien,2017,340 (0.7%) students,340
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2017,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Hispanic,2017,462 (0.9%) students,462
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2017,15 (0.0%) students,15
Business Administration,Male,"Black or African American, only",2017,74 (0.1%) students,74
Business Administration,Male,"Asian, only",2017,758 (1.5%) students,758
Business Administration,Male,"American Indian or Alaska Native, only",2017,6 (0.0%) students,6
Business Administration,Male,"White, only",2016,1523 (3.0%) students,1523
Business Administration,Male,Unknown or Blank,2016,40 (0.1%) students,40
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2016,62 (0.1%) students,62
Business Administration,Male,Non-resident Alien,2016,306 (0.6%) students,306
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2016,5 (0.0%) students,5
Business Administration,Male,Hispanic,2016,421 (0.8%) students,421
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2016,9 (0.0%) students,9
Business Administration,Male,"Black or African American, only",2016,75 (0.1%) students,75
Business Administration,Male,"Asian, only",2016,752 (1.5%) students,752
Business Administration,Male,"American Indian or Alaska Native, only",2016,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,"White, only",2015,1558 (3.1%) students,1558
Business Administration,Male,Unknown or Blank,2015,42 (0.1%) students,42
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2015,68 (0.1%) students,68
Business Administration,Male,Non-resident Alien,2015,318 (0.6%) students,318
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2015,6 (0.0%) students,6
Business Administration,Male,Hispanic,2015,395 (0.8%) students,395
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2015,10 (0.0%) students,10
Business Administration,Male,"Black or African American, only",2015,81 (0.2%) students,81
Business Administration,Male,"Asian, only",2015,718 (1.4%) students,718
Business Administration,Male,"American Indian or Alaska Native, only",2015,6 (0.0%) students,6
Business Administration,Male,"White, only",2014,1575 (3.1%) students,1575
Business Administration,Male,Unknown or Blank,2014,49 (0.1%) students,49
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2014,70 (0.1%) students,70
Business Administration,Male,Non-resident Alien,2014,323 (0.6%) students,323
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2014,6 (0.0%) students,6
Business Administration,Male,Hispanic,2014,357 (0.7%) students,357
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2014,14 (0.0%) students,14
Business Administration,Male,"Black or African American, only",2014,64 (0.1%) students,64
Business Administration,Male,"Asian, only",2014,669 (1.3%) students,669
Business Administration,Male,"American Indian or Alaska Native, only",2014,8 (0.0%) students,8
Business Administration,Male,"White, only",2013,1629 (3.1%) students,1629
Business Administration,Male,Unknown or Blank,2013,53 (0.1%) students,53
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2013,62 (0.1%) students,62
Business Administration,Male,Non-resident Alien,2013,303 (0.6%) students,303
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2013,5 (0.0%) students,5
Business Administration,Male,Hispanic,2013,352 (0.7%) students,352
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2013,11 (0.0%) students,11
Business Administration,Male,"Black or African American, only",2013,64 (0.1%) students,64
Business Administration,Male,"Asian, only",2013,651 (1.3%) students,651
Business Administration,Male,"American Indian or Alaska Native, only",2013,9 (0.0%) students,9
Business Administration,Male,"White, only",2012,1584 (3.0%) students,1584
Business Administration,Male,Unknown or Blank,2012,27 (0.1%) students,27
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2012,49 (0.1%) students,49
Business Administration,Male,Non-resident Alien,2012,310 (0.6%) students,310
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2012,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Hispanic,2012,340 (0.7%) students,340
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2012,6 (0.0%) students,6
Business Administration,Male,"Black or African American, only",2012,61 (0.1%) students,61
Business Administration,Male,"Asian, only",2012,623 (1.2%) students,623
Business Administration,Male,"American Indian or Alaska Native, only",2012,12 (0.0%) students,12
Business Administration,Male,"White, only",2011,1544 (3.0%) students,1544
Business Administration,Male,Unknown or Blank,2011,30 (0.1%) students,30
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2011,37 (0.1%) students,37
Business Administration,Male,Non-resident Alien,2011,330 (0.6%) students,330
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2011,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Hispanic,2011,346 (0.7%) students,346
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2011,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,"Black or African American, only",2011,57 (0.1%) students,57
Business Administration,Male,"Asian, only",2011,632 (1.2%) students,632
Business Administration,Male,"American Indian or Alaska Native, only",2011,8 (0.0%) students,8
Business Administration,Male,"White, only",2010,1553 (3.0%) students,1553
Business Administration,Male,Unknown or Blank,2010,18 (0.0%) students,18
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2010,16 (0.0%) students,16
Business Administration,Male,Non-resident Alien,2010,345 (0.7%) students,345
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2010,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Hispanic,2010,370 (0.7%) students,370
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2010,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,"Black or African American, only",2010,68 (0.1%) students,68
Business Administration,Male,"Asian, only",2010,606 (1.2%) students,606
Business Administration,Male,"American Indian or Alaska Native, only",2010,9 (0.0%) students,9
Business Administration,Male,"White, only",2009,1534 (3.0%) students,1534
Business Administration,Male,Unknown or Blank,2009,11 (0.0%) students,11
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Non-resident Alien,2009,336 (0.7%) students,336
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2009,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Hispanic,2009,336 (0.7%) students,336
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,"Black or African American, only",2009,73 (0.1%) students,73
Business Administration,Male,"Asian, only",2009,599 (1.2%) students,599
Business Administration,Male,"American Indian or Alaska Native, only",2009,8 (0.0%) students,8
Business Administration,Male,"White, only",2008,1522 (3.1%) students,1522
Business Administration,Male,Unknown or Blank,2008,11 (0.0%) students,11
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Non-resident Alien,2008,335 (0.7%) students,335
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2008,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,Hispanic,2008,335 (0.7%) students,335
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Business Administration,Male,"Black or African American, only",2008,68 (0.1%) students,68
Business Administration,Male,"Asian, only",2008,598 (1.2%) students,598
Business Administration,Male,"American Indian or Alaska Native, only",2008,10 (0.0%) students,10
Communication,Female,"White, only",2018,1640 (3.2%) students,1640
Communication,Female,Unknown or Blank,2018,28 (0.1%) students,28
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2018,86 (0.2%) students,86
Communication,Female,Non-resident Alien,2018,190 (0.4%) students,190
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2018,No students match your selections or these data are privacy suppressed.,
Communication,Female,Hispanic,2018,852 (1.6%) students,852
Communication,Female,"Black or African American, two or more excluding Hispanic",2018,27 (0.1%) students,27
Communication,Female,"Black or African American, only",2018,137 (0.3%) students,137
Communication,Female,"Asian, only",2018,297 (0.6%) students,297
Communication,Female,"American Indian or Alaska Native, only",2018,8 (0.0%) students,8
Communication,Female,"White, only",2017,1685 (3.3%) students,1685
Communication,Female,Unknown or Blank,2017,24 (0.0%) students,24
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2017,90 (0.2%) students,90
Communication,Female,Non-resident Alien,2017,190 (0.4%) students,190
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2017,5 (0.0%) students,5
Communication,Female,Hispanic,2017,814 (1.6%) students,814
Communication,Female,"Black or African American, two or more excluding Hispanic",2017,28 (0.1%) students,28
