College,Gender,Race,Year,Number of students
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2008,0
Architecture,Male,Non-resident Alien,2008,37
Architecture,Male,Hispanic,2008,38
Architecture,Male,"Black or African American, only",2008,0
Architecture,Male,"Asian, only",2008,18
Business Administration,Female,"White, only",2018,948
Business Administration,Female,Unknown or Blank,2018,35
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2018,44
Business Administration,Female,Non-resident Alien,2018,243
Business Administration,Female,Hispanic,2018,426
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2018,8
Business Administration,Female,"Black or African American, only",2018,101
Business Administration,Female,"Asian, only",2018,742
Business Administration,Female,"American Indian or Alaska Native, only",2018,0
Business Administration,Female,"White, only",2017,1001
Business Administration,Female,Unknown or Blank,2017,45
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2017,46
Business Administration,Female,Non-resident Alien,2017,254
Business Administration,Female,Hispanic,2017,385
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2017,8
Business Administration,Female,"Black or African American, only",2017,89
Business Administration,Female,"Asian, only",2017,708
Business Administration,Female,"American Indian or Alaska Native, only",2017,0
Business Administration,Female,"White, only",2016,1005
Business Administration,Female,Unknown or Blank,2016,38
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2016,58
Business Administration,Female,Non-resident Alien,2016,259
Business Administration,Female,Hispanic,2016,371
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2016,5
Business Administration,Female,"Black or African American, only",2016,79
Business Administration,Female,"Asian, only",2016,696
Business Administration,Female,"American Indian or Alaska Native, only",2016,0
Business Administration,Female,"White, only",2015,1020
Business Administration,Female,Unknown or Blank,2015,28
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2015,70
Business Administration,Female,Non-resident Alien,2015,258
Business Administration,Female,Hispanic,2015,332
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2015,6
Business Administration,Female,"Black or African American, only",2015,74
Business Administration,Female,"Asian, only",2015,672
Business Administration,Female,"American Indian or Alaska Native, only",2015,0
Business Administration,Female,"White, only",2014,1049
Business Administration,Female,Unknown or Blank,2014,28
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2014,62
Business Administration,Female,Non-resident Alien,2014,239
Business Administration,Female,Hispanic,2014,318
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2014,10
Business Administration,Female,"Black or African American, only",2014,56
Business Administration,Female,"Asian, only",2014,619
Business Administration,Female,"American Indian or Alaska Native, only",2014,0
Business Administration,Female,"White, only",2013,1067
Business Administration,Female,Unknown or Blank,2013,19
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2013,51
Business Administration,Female,Non-resident Alien,2013,225
Business Administration,Female,Hispanic,2013,319
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2013,10
Business Administration,Female,"Black or African American, only",2013,46
Business Administration,Female,"Asian, only",2013,588
Business Administration,Female,"American Indian or Alaska Native, only",2013,0
Business Administration,Female,"White, only",2012,1041
Business Administration,Female,Unknown or Blank,2012,7
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2012,34
Business Administration,Female,Non-resident Alien,2012,205
Business Administration,Female,Hispanic,2012,312
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2012,9
Business Administration,Female,"Black or African American, only",2012,58
Business Administration,Female,"Asian, only",2012,576
Business Administration,Female,"American Indian or Alaska Native, only",2012,6
Business Administration,Female,"White, only",2011,1068
Business Administration,Female,Unknown or Blank,2011,11
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2011,26
Business Administration,Female,Non-resident Alien,2011,211
Business Administration,Female,Hispanic,2011,308
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2011,8
Business Administration,Female,"Black or African American, only",2011,81
Business Administration,Female,"Asian, only",2011,568
Business Administration,Female,"American Indian or Alaska Native, only",2011,7
Business Administration,Female,"White, only",2010,1097
Business Administration,Female,Unknown or Blank,2010,5
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2010,15
Business Administration,Female,Non-resident Alien,2010,209
Business Administration,Female,Hispanic,2010,316
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2010,0
Business Administration,Female,"Black or African American, only",2010,95
Business Administration,Female,"Asian, only",2010,582
Business Administration,Female,"American Indian or Alaska Native, only",2010,7
Business Administration,Female,"White, only",2009,1159
Business Administration,Female,Unknown or Blank,2009,0
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2009,0
Business Administration,Female,Non-resident Alien,2009,215
Business Administration,Female,Hispanic,2009,325
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2009,0
Business Administration,Female,"Black or African American, only",2009,97
Business Administration,Female,"Asian, only",2009,631
Business Administration,Female,"American Indian or Alaska Native, only",2009,8
Business Administration,Female,"White, only",2008,1183
Business Administration,Female,Unknown or Blank,2008,0
Business Administration,Female,"Two or more, excluding Hispanic and Black or African American",2008,0
Business Administration,Female,Non-resident Alien,2008,220
Business Administration,Female,Hispanic,2008,324
Business Administration,Female,"Black or African American, two or more excluding Hispanic",2008,0
Business Administration,Female,"Black or African American, only",2008,97
Business Administration,Female,"Asian, only",2008,646
Business Administration,Female,"American Indian or Alaska Native, only",2008,7
Business Administration,Male,"White, only",2018,1363
Business Administration,Male,Unknown or Blank,2018,49
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2018,62
Business Administration,Male,Non-resident Alien,2018,331
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2018,0
Business Administration,Male,Hispanic,2018,477
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2018,13
Business Administration,Male,"Black or African American, only",2018,82
Business Administration,Male,"Asian, only",2018,774
Business Administration,Male,"American Indian or Alaska Native, only",2018,6
Business Administration,Male,"White, only",2017,1415
Business Administration,Male,Unknown or Blank,2017,42
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2017,62
Business Administration,Male,Non-resident Alien,2017,340
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2017,0
Business Administration,Male,Hispanic,2017,462
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2017,15
Business Administration,Male,"Black or African American, only",2017,74
Business Administration,Male,"Asian, only",2017,758
Business Administration,Male,"American Indian or Alaska Native, only",2017,6
Business Administration,Male,"White, only",2016,1523
Business Administration,Male,Unknown or Blank,2016,40
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2016,62
Business Administration,Male,Non-resident Alien,2016,306
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2016,5
Business Administration,Male,Hispanic,2016,421
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2016,9
Business Administration,Male,"Black or African American, only",2016,75
Business Administration,Male,"Asian, only",2016,752
Business Administration,Male,"American Indian or Alaska Native, only",2016,0
Business Administration,Male,"White, only",2015,1558
Business Administration,Male,Unknown or Blank,2015,42
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2015,68
Business Administration,Male,Non-resident Alien,2015,318
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2015,6
Business Administration,Male,Hispanic,2015,395
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2015,10
Business Administration,Male,"Black or African American, only",2015,81
Business Administration,Male,"Asian, only",2015,718
Business Administration,Male,"American Indian or Alaska Native, only",2015,6
Business Administration,Male,"White, only",2014,1575
Business Administration,Male,Unknown or Blank,2014,49
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2014,70
Business Administration,Male,Non-resident Alien,2014,323
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2014,6
Business Administration,Male,Hispanic,2014,357
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2014,14
Business Administration,Male,"Black or African American, only",2014,64
Business Administration,Male,"Asian, only",2014,669
Business Administration,Male,"American Indian or Alaska Native, only",2014,8
Business Administration,Male,"White, only",2013,1629
Business Administration,Male,Unknown or Blank,2013,53
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2013,62
Business Administration,Male,Non-resident Alien,2013,303
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2013,5
Business Administration,Male,Hispanic,2013,352
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2013,11
Business Administration,Male,"Black or African American, only",2013,64
Business Administration,Male,"Asian, only",2013,651
Business Administration,Male,"American Indian or Alaska Native, only",2013,9
Business Administration,Male,"White, only",2012,1584
Business Administration,Male,Unknown or Blank,2012,27
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2012,49
Business Administration,Male,Non-resident Alien,2012,310
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2012,0
Business Administration,Male,Hispanic,2012,340
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2012,6
Business Administration,Male,"Black or African American, only",2012,61
Business Administration,Male,"Asian, only",2012,623
Business Administration,Male,"American Indian or Alaska Native, only",2012,12
Business Administration,Male,"White, only",2011,1544
Business Administration,Male,Unknown or Blank,2011,30
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2011,37
Business Administration,Male,Non-resident Alien,2011,330
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2011,0
Business Administration,Male,Hispanic,2011,346
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2011,0
Business Administration,Male,"Black or African American, only",2011,57
Business Administration,Male,"Asian, only",2011,632
Business Administration,Male,"American Indian or Alaska Native, only",2011,8
Business Administration,Male,"White, only",2010,1553
Business Administration,Male,Unknown or Blank,2010,18
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2010,16
Business Administration,Male,Non-resident Alien,2010,345
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2010,0
Business Administration,Male,Hispanic,2010,370
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2010,0
Business Administration,Male,"Black or African American, only",2010,68
Business Administration,Male,"Asian, only",2010,606
Business Administration,Male,"American Indian or Alaska Native, only",2010,9
Business Administration,Male,"White, only",2009,1534
Business Administration,Male,Unknown or Blank,2009,11
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2009,0
Business Administration,Male,Non-resident Alien,2009,336
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2009,0
Business Administration,Male,Hispanic,2009,336
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2009,0
Business Administration,Male,"Black or African American, only",2009,73
Business Administration,Male,"Asian, only",2009,599
Business Administration,Male,"American Indian or Alaska Native, only",2009,8
Business Administration,Male,"White, only",2008,1522
Business Administration,Male,Unknown or Blank,2008,11
Business Administration,Male,"Two or more, excluding Hispanic and Black or African American",2008,0
Business Administration,Male,Non-resident Alien,2008,335
Business Administration,Male,"Native Hawaiian or Other Pacific Islander, only",2008,0
Business Administration,Male,Hispanic,2008,335
Business Administration,Male,"Black or African American, two or more excluding Hispanic",2008,0
Business Administration,Male,"Black or African American, only",2008,68
Business Administration,Male,"Asian, only",2008,598
Business Administration,Male,"American Indian or Alaska Native, only",2008,10
Communication,Female,"White, only",2018,1640
Communication,Female,Unknown or Blank,2018,28
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2018,86
Communication,Female,Non-resident Alien,2018,190
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2018,0
Communication,Female,Hispanic,2018,852
Communication,Female,"Black or African American, two or more excluding Hispanic",2018,27
Communication,Female,"Black or African American, only",2018,137
Communication,Female,"Asian, only",2018,297
Communication,Female,"American Indian or Alaska Native, only",2018,8
Communication,Female,"White, only",2017,1685
Communication,Female,Unknown or Blank,2017,24
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2017,90
Communication,Female,Non-resident Alien,2017,190
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2017,5
Communication,Female,Hispanic,2017,814
Communication,Female,"Black or African American, two or more excluding Hispanic",2017,28
Communication,Female,"Black or African American, only",2017,133
Communication,Female,"Asian, only",2017,280
Communication,Female,"American Indian or Alaska Native, only",2017,5
Communication,Female,"White, only",2016,1691
Communication,Female,Unknown or Blank,2016,26
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2016,78
Communication,Female,Non-resident Alien,2016,179
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2016,5
Communication,Female,Hispanic,2016,760
Communication,Female,"Black or African American, two or more excluding Hispanic",2016,25
Communication,Female,"Black or African American, only",2016,138
Communication,Female,"Asian, only",2016,240
Communication,Female,"American Indian or Alaska Native, only",2016,0
Communication,Female,"White, only",2015,1703
Communication,Female,Unknown or Blank,2015,23
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2015,77
Communication,Female,Non-resident Alien,2015,171
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2015,0
Communication,Female,Hispanic,2015,741
Communication,Female,"Black or African American, two or more excluding Hispanic",2015,21
Communication,Female,"Black or African American, only",2015,126
Communication,Female,"Asian, only",2015,230
Communication,Female,"American Indian or Alaska Native, only",2015,8
Communication,Female,"White, only",2014,1826
Communication,Female,Unknown or Blank,2014,21
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2014,83
Communication,Female,Non-resident Alien,2014,190
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2014,0
Communication,Female,Hispanic,2014,759
Communication,Female,"Black or African American, two or more excluding Hispanic",2014,19
Communication,Female,"Black or African American, only",2014,128
Communication,Female,"Asian, only",2014,221
Communication,Female,"American Indian or Alaska Native, only",2014,12
Communication,Female,"White, only",2013,1867
Communication,Female,Unknown or Blank,2013,12
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2013,78
Communication,Female,Non-resident Alien,2013,183
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2013,0
Communication,Female,Hispanic,2013,762
Communication,Female,"Black or African American, two or more excluding Hispanic",2013,20
Communication,Female,"Black or African American, only",2013,141
Communication,Female,"Asian, only",2013,244
Communication,Female,"American Indian or Alaska Native, only",2013,10
Communication,Female,"White, only",2012,1815
Communication,Female,Unknown or Blank,2012,11
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2012,63
Communication,Female,Non-resident Alien,2012,164
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2012,0
Communication,Female,Hispanic,2012,724
Communication,Female,"Black or African American, two or more excluding Hispanic",2012,15
Communication,Female,"Black or African American, only",2012,163
Communication,Female,"Asian, only",2012,269
Communication,Female,"American Indian or Alaska Native, only",2012,14
Communication,Female,"White, only",2011,1818
Communication,Female,Unknown or Blank,2011,14
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2011,44
Communication,Female,Non-resident Alien,2011,141
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2011,0
Communication,Female,Hispanic,2011,676
Communication,Female,"Black or African American, two or more excluding Hispanic",2011,9
Communication,Female,"Black or African American, only",2011,159
Communication,Female,"Asian, only",2011,290
Communication,Female,"American Indian or Alaska Native, only",2011,12
Communication,Female,"White, only",2010,1839
Communication,Female,Unknown or Blank,2010,13
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2010,25
Communication,Female,Non-resident Alien,2010,132
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2010,0
Communication,Female,Hispanic,2010,578
Communication,Female,"Black or African American, two or more excluding Hispanic",2010,7
Communication,Female,"Black or African American, only",2010,157
Communication,Female,"Asian, only",2010,280
Communication,Female,"American Indian or Alaska Native, only",2010,16
Communication,Female,"White, only",2009,1859
Communication,Female,Unknown or Blank,2009,10
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2009,0
Communication,Female,Non-resident Alien,2009,132
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2009,0
Communication,Female,Hispanic,2009,568
Communication,Female,"Black or African American, two or more excluding Hispanic",2009,0
Communication,Female,"Black or African American, only",2009,178
Communication,Female,"Asian, only",2009,287
Communication,Female,"American Indian or Alaska Native, only",2009,19
Communication,Female,"White, only",2008,1829
Communication,Female,Unknown or Blank,2008,10
Communication,Female,"Two or more, excluding Hispanic and Black or African American",2008,0
Communication,Female,Non-resident Alien,2008,136
Communication,Female,"Native Hawaiian or Other Pacific Islander, only",2008,0
Communication,Female,Hispanic,2008,514
Communication,Female,"Black or African American, two or more excluding Hispanic",2008,0
Communication,Female,"Black or African American, only",2008,160
Communication,Female,"Asian, only",2008,260
Communication,Female,"American Indian or Alaska Native, only",2008,16
Communication,Male,"White, only",2018,777
Communication,Male,Unknown or Blank,2018,12
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2018,44
Communication,Male,Non-resident Alien,2018,94
Communication,Male,Hispanic,2018,408
Communication,Male,"Black or African American, two or more excluding Hispanic",2018,18
Communication,Male,"Black or African American, only",2018,52
Communication,Male,"Asian, only",2018,95
Communication,Male,"American Indian or Alaska Native, only",2018,8
Communication,Male,"White, only",2017,750
Communication,Male,Unknown or Blank,2017,10
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2017,47
Communication,Male,Non-resident Alien,2017,97
Communication,Male,Hispanic,2017,399
Communication,Male,"Black or African American, two or more excluding Hispanic",2017,15
Communication,Male,"Black or African American, only",2017,48
Communication,Male,"Asian, only",2017,101
Communication,Male,"American Indian or Alaska Native, only",2017,6
Communication,Male,"White, only",2016,709
Communication,Male,Unknown or Blank,2016,12
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2016,37
Communication,Male,Non-resident Alien,2016,80
Communication,Male,Hispanic,2016,366
Communication,Male,"Black or African American, two or more excluding Hispanic",2016,13
Communication,Male,"Black or African American, only",2016,44
Communication,Male,"Asian, only",2016,86
Communication,Male,"American Indian or Alaska Native, only",2016,5
Communication,Male,"White, only",2015,701
Communication,Male,Unknown or Blank,2015,13
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2015,30
Communication,Male,Non-resident Alien,2015,77
Communication,Male,Hispanic,2015,316
Communication,Male,"Black or African American, two or more excluding Hispanic",2015,12
Communication,Male,"Black or African American, only",2015,47
Communication,Male,"Asian, only",2015,68
Communication,Male,"American Indian or Alaska Native, only",2015,0
Communication,Male,"White, only",2014,764
Communication,Male,Unknown or Blank,2014,9
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2014,28
Communication,Male,Non-resident Alien,2014,85
Communication,Male,Hispanic,2014,343
Communication,Male,"Black or African American, two or more excluding Hispanic",2014,9
Communication,Male,"Black or African American, only",2014,42
Communication,Male,"Asian, only",2014,68
Communication,Male,"American Indian or Alaska Native, only",2014,0
Communication,Male,"White, only",2013,835
Communication,Male,Unknown or Blank,2013,7
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2013,25
Communication,Male,Non-resident Alien,2013,87
Communication,Male,Hispanic,2013,348
Communication,Male,"Black or African American, two or more excluding Hispanic",2013,9
Communication,Male,"Black or African American, only",2013,51
Communication,Male,"Asian, only",2013,79
Communication,Male,"American Indian or Alaska Native, only",2013,0
Communication,Male,"White, only",2012,891
Communication,Male,Unknown or Blank,2012,14
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2012,21
Communication,Male,Non-resident Alien,2012,67
Communication,Male,Hispanic,2012,309
Communication,Male,"Black or African American, two or more excluding Hispanic",2012,9
Communication,Male,"Black or African American, only",2012,63
Communication,Male,"Asian, only",2012,89
Communication,Male,"American Indian or Alaska Native, only",2012,0
Communication,Male,"White, only",2011,898
Communication,Male,Unknown or Blank,2011,14
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2011,15
Communication,Male,Non-resident Alien,2011,79
Communication,Male,Hispanic,2011,310
Communication,Male,"Black or African American, two or more excluding Hispanic",2011,5
Communication,Male,"Black or African American, only",2011,69
Communication,Male,"Asian, only",2011,101
Communication,Male,"American Indian or Alaska Native, only",2011,0
Communication,Male,"White, only",2010,926
Communication,Male,Unknown or Blank,2010,13
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2010,8
Communication,Male,Non-resident Alien,2010,79
Communication,Male,Hispanic,2010,283
Communication,Male,"Black or African American, two or more excluding Hispanic",2010,0
Communication,Male,"Black or African American, only",2010,72
Communication,Male,"Asian, only",2010,104
Communication,Male,"American Indian or Alaska Native, only",2010,5
Communication,Male,"White, only",2009,933
Communication,Male,Unknown or Blank,2009,13
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2009,0
Communication,Male,Non-resident Alien,2009,85
Communication,Male,Hispanic,2009,264
Communication,Male,"Black or African American, two or more excluding Hispanic",2009,0
Communication,Male,"Black or African American, only",2009,75
Communication,Male,"Asian, only",2009,126
Communication,Male,"American Indian or Alaska Native, only",2009,6
Communication,Male,"White, only",2008,892
